date,tmax,tmin
8/10/2017,79.7,63.4
8/11/2017,70.4,59.6
8/12/2017,76.8,50.7
8/13/2017,72.8,52.7
8/14/2017,76.9,56.7
8/15/2017,74.4,59.3
8/16/2017,81.1,62.2
8/17/2017,73.9,66.3
8/18/2017,73.7,62.3
8/19/2017,79.4,58.4
8/20/2017,77.5,61.7
8/21/2017,79.1,64
8/22/2017,73.5,60.4
8/23/2017,72.5,54.7
8/24/2017,66.9,54.9
8/25/2017,69.3,46.6
8/26/2017,68,56.1
8/27/2017,69.2,58.8
8/28/2017,70.2,59.4
8/29/2017,72.6,59.1
8/30/2017,77.9,57.5
8/31/2017,67.9,55.2
9/1/2017,67,48.2
9/2/2017,65.7,47.1
9/3/2017,79.3,56.6
9/4/2017,72.4,60.7
9/5/2017,60.2,49.2
9/6/2017,62.4,44.2
9/7/2017,63,49.6
9/8/2017,61.1,52
9/9/2017,68.9,48.2
9/10/2017,68.8,49.7
9/11/2017,75.1,50.2
9/12/2017,78.2,54.6
9/13/2017,79.2,53.2
9/14/2017,80.4,56.6
9/15/2017,85,61.5
9/16/2017,84.7,62.9
9/17/2017,73.4,55.6
9/18/2017,74.4,48.8
9/19/2017,78.5,55.5
9/20/2017,88,61.8
9/21/2017,82.4,67.1
9/22/2017,89,69.2
9/23/2017,90.4,67.7
9/24/2017,87.1,67.9
9/25/2017,88,66.7
9/26/2017,77.2,61.9
9/27/2017,61.3,48.8
9/28/2017,70.2,45
9/29/2017,64.5,48.7
9/30/2017,66.3,43.7
10/1/2017,67.2,47.2
10/2/2017,77.7,55.6
10/3/2017,76.5,62.5
10/4/2017,71.2,54.4
10/5/2017,66.5,46
10/6/2017,64.5,53.5
10/7/2017,67.4,57.8
10/8/2017,74.7,51.7
10/9/2017,68.9,53.3
10/10/2017,54.4,46.3
10/11/2017,56.8,46.3
10/12/2017,56.8,52.7
10/13/2017,59.9,53.1
10/14/2017,62.9,55.5
10/15/2017,65.5,41.2
10/16/2017,59.2,38.2
10/17/2017,69.5,48.3
10/18/2017,69.7,44.7
10/19/2017,67.9,48.2
10/20/2017,74.8,48.4
10/21/2017,75.2,57.2
10/22/2017,67.5,47.2
10/23/2017,56.3,42.6
10/24/2017,47.2,39.7
10/25/2017,52.2,35.4
10/26/2017,58.4,37.3
10/27/2017,49.3,33.1
10/28/2017,38.2,32.6
10/29/2017,44.5,25.7
10/30/2017,39.7,33.2
10/31/2017,34.8,29.8
11/1/2017,41,27.3
11/2/2017,48.6,37.5
11/3/2017,42,33.1
11/4/2017,42.6,38
11/5/2017,47.9,33.3
11/6/2017,37.6,25.3
11/7/2017,41.5,30.1
11/8/2017,41.8,23.9
11/9/2017,38.6,16.6
11/10/2017,26.9,10.2
11/11/2017,34.4,24.6
11/12/2017,37.8,29.4
11/13/2017,41.2,25.4
11/14/2017,44.1,30.6
11/15/2017,47.2,31.6
11/16/2017,34.3,29.3
11/17/2017,37.7,31.8
11/18/2017,37.7,31.8
11/19/2017,31.8,20.5
11/20/2017,49.9,28.3
11/21/2017,45.1,22.5
11/22/2017,29.7,16.3
11/23/2017,43.4,29.1
11/24/2017,63.7,32.8
11/25/2017,48.1,31.7
11/26/2017,49.2,23
11/27/2017,53.5,32.7
11/28/2017,56.1,41.1
11/29/2017,41.8,28.8
11/30/2017,48.5,35.1
12/1/2017,47.1,27.5
12/2/2017,50.5,32.4
12/3/2017,50.3,30.5
12/4/2017,59.2,44.8
12/5/2017,39.3,21.4
12/6/2017,30.5,19
12/7/2017,22.5,15.6
12/8/2017,32,15.5
12/9/2017,29.8,15
12/10/2017,28.7,16.4
12/11/2017,30.8,20.6
12/12/2017,23.1,12
12/13/2017,31.1,19.2
12/14/2017,25,11.2
12/15/2017,29.5,20.8
12/16/2017,38.8,29.9
12/17/2017,33.1,29.6
12/18/2017,37.5,31.5
12/19/2017,43.8,29.7
12/20/2017,28.4,22
12/21/2017,33.1,22.9
12/22/2017,31.6,26.8
12/23/2017,27.7,12.3
12/24/2017,19.5,10.9
12/25/2017,13,-1.6
12/26/2017,2.1,-9.6
12/27/2017,3.1,-9.3
12/28/2017,7.5,-4.5
12/29/2017,11.7,5.4
12/30/2017,7.9,-5.8
12/31/2017,4.1,-7
1/1/2018,1.1,-13.6
1/2/2018,7.2,-9.9
1/3/2018,11.4,-0.1
1/4/2018,8.1,-7.4
1/5/2018,7.9,-7.2
1/6/2018,11.7,-7.5
1/7/2018,30.1,5.3
1/8/2018,40,26
1/9/2018,38.1,26.2
1/10/2018,46.8,28.8
1/11/2018,49.1,14.3
1/12/2018,16.3,5.2
1/13/2018,8.5,-3.2
1/14/2018,16.5,-2.4
1/15/2018,22.2,10.5
1/16/2018,19.9,9
1/17/2018,19,-0.3
1/18/2018,30.8,16.5
1/19/2018,39,23.4
1/20/2018,49.3,29
1/21/2018,37.8,28.9
1/22/2018,36.9,32.1
1/23/2018,31.2,23.4
1/24/2018,27.9,22.1
