date,tmax,tmin
2022-09-01,70.232,57.70399999999999
2022-09-02,81.482,51.332
2022-09-03,84.956,59.792
2022-09-04,79.10600000000001,61.232
2022-09-05,70.142,60.836
2022-09-06,72.536,62.636
2022-09-07,69.494,61.16
2022-09-08,78.71,59.396
2022-09-09,82.472,59.288
2022-09-10,81.968,60.206
2022-09-11,69.25999999999999,62.114
2022-09-12,80.654,61.268
2022-09-13,67.532,57.056
2022-09-14,76.262,56.084
2022-09-15,65.984,47.641999999999996
2022-09-16,68.918,47.768
2022-09-17,80.15,52.574
2022-09-18,80.384,63.464
2022-09-19,74.39,63.212
2022-09-20,71.078,58.748000000000005
2022-09-21,79.502,53.51
2022-09-22,69.08,47.246
2022-09-23,53.42,42.007999999999996
2022-09-24,64.436,42.260000000000005
2022-09-25,63.842,48.29
2022-09-26,63.068,52.43
2022-09-27,58.892,52.268
2022-09-28,59.738,45.806
2022-09-29,58.658,41.45
2022-09-30,61.7,36.5
2022-10-01,62.978,45.068
2022-10-02,58.586,40.514
2022-10-03,56.192,37.418
2022-10-04,60.098,41.792
2022-10-05,67.55,40.316
2022-10-06,70.844,46.112
2022-10-07,57.164,44.042
2022-10-08,52.628,37.598
2022-10-09,57.83,41.036
2022-10-10,56.084,42.206
2022-10-11,69.674,38.984
2022-10-12,65.786,47.534
2022-10-13,65.336,48.397999999999996
2022-10-14,61.214,42.206
2022-10-15,66.92,43.394
2022-10-16,61.34,39.488
2022-10-17,57.974000000000004,40.046
2022-10-18,49.586,35.006
2022-10-19,46.22,32.882
2022-10-20,46.796,37.454
2022-10-21,60.440000000000005,34.07
2022-10-22,68.414,42.728
2022-10-23,65.498,41.432
2022-10-24,67.19,47.174
2022-10-25,70.988,52.214
2022-10-26,71.06,52.916
2022-10-27,51.385999999999996,34.358
2022-10-28,52.664,30.83
2022-10-29,62.726,34.286
2022-10-30,64.976,34.628
2022-10-31,62.492000000000004,42.044
2022-11-01,65.174,46.922
2022-11-02,65.3,43.322
2022-11-03,67.69399999999999,43.304
2022-11-04,69.134,48.11
2022-11-05,71.078,57.038
2022-11-06,73.13,58.658
2022-11-07,59.809999999999995,42.836
2022-11-08,48.074,29.84
2022-11-09,55.94,27.968
2022-11-10,65.822,41.774
2022-11-11,62.366,50.144
2022-11-12,62.438,38.93
2022-11-13,40.262,31.928
2022-11-14,38.192,28.454
2022-11-15,35.438,28.004
2022-11-16,37.958,30.542
2022-11-17,33.872,27.247999999999998
2022-11-18,33.782,25.61
2022-11-19,31.73,21.326
2022-11-20,27.536,21.416
2022-11-21,34.502,16.556
2022-11-22,39.092,27.5
2022-11-23,41.918,27.23
2022-11-24,47.408,27.662
2022-11-25,43.268,36.302
2022-11-26,49.135999999999996,32.108
2022-11-27,48.182,33.332
2022-11-28,45.482,26.654
2022-11-29,41.666,28.328
2022-11-30,47.426,30.56
